5
[JAC]
N	K	Î	Å	À	È	Í	Ò	Ñ	Ð	Â	Ë	Ï	Ê	Ì	Ä	É	Û	Ü	Ó	ß	Þ	Ý	Ç	Ã	Á	×	Õ	Ø	Æ	Ö	Ù	Ô	
400	23	10	9	14	7	7	10	11	14	16	11	15	14	12	12	13	8	10	7	13	10	13	16	16	13	18	15	22	14	16	14	5	
600	85	15	21	22	21	13	10	10	20	32	22	26	31	50	43	25	20	18	22	29	36	24	42	37	39	46	40	59	53	49	48	10	
800	115	15	14	19	20	12	11	9	17	29	17	23	27	47	41	32	11	10	10	18	28	25	47	31	38	51	43	82	58	68	47	15	
1000	132	22	17	20	25	15	17	14	22	26	29	24	27	43	47	30	12	19	12	16	34	24	41	41	49	59	49	83	65	69	59	19	
1200	223	11	12	22	22	9	14	12	19	34	16	27	31	63	49	29	10	10	10	14	32	24	41	35	47	50	52	103	70	104	92	20	
1400	283	15	12	19	18	9	10	9	15	40	21	19	27	73	66	22	15	14	7	13	32	20	46	48	45	60	62	132	81	123	96	29	
1600	252	19	13	20	17	13	13	10	16	28	19	20	34	44	39	28	8	11	4	11	14	20	36	48	48	45	37	123	60	106	74	21	
1800	163	5	8	8	9	3	5	5	6	15	4	9	17	26	20	6	2	3	1	5	12	15	21	20	27	22	15	61	22	51	41	16	
1800	45	0	0	1	1	0	0	0	1	2	1	2	2	6	2	2	0	0	0	1	3	3	3	1	4	7	5	16	9	15	9	17	

[DAT]
N	K	Î	Å	À	È	Í	Ò	Ñ	Ð	Â	Ë	Ï	Ê	Ì	Ä	É	Û	Ü	Ó	ß	Þ	Ý	Ç	Ã	Á	×	Õ	Ø	Æ	Ö	Ù	Ô	
400	23	10	13	12	12	5	11	11	14	15	13	19	19	13	20	16	10	10	16	10	18	8	15	22	16	17	20	19	16	20	16	4	
600	85	30	52	41	34	18	23	22	34	50	38	42	57	61	59	45	31	34	32	37	45	33	65	63	52	58	57	77	61	57	54	10	
800	115	20	49	37	43	15	22	22	29	56	51	29	62	60	70	49	34	44	44	41	52	28	60	75	59	55	72	90	76	79	60	19	
1000	132	28	54	35	41	16	12	15	28	47	45	30	58	60	66	46	26	30	35	35	51	27	70	80	68	66	80	97	72	79	66	19	
1200	223	30	57	36	47	21	22	19	34	61	53	36	67	76	78	68	30	34	38	34	78	37	74	99	79	64	113	135	96	120	109	24	
1400	283	28	55	47	37	12	17	13	36	76	49	44	78	85	81	52	23	42	47	41	75	37	96	110	80	69	112	157	107	119	104	37	
1600	252	29	51	37	30	16	19	20	37	53	43	35	64	56	76	40	22	28	33	26	45	25	80	91	73	58	84	132	86	104	74	20	
1800	163	13	29	23	23	5	7	7	19	37	22	22	34	36	34	15	13	15	22	17	30	16	55	47	34	34	57	76	56	68	57	22	
1800	45	4	2	6	3	1	1	1	5	6	3	6	8	8	6	6	2	2	1	4	7	4	14	12	9	9	13	15	10	14	8	19	

[MAP]
N	K	Î	Å	À	È	Í	Ò	Ñ	Ð	Â	Ë	Ï	Ê	Ì	Ä	É	Û	Ü	Ó	ß	Þ	Ý	Ç	Ã	Á	×	Õ	Ø	Æ	Ö	Ù	Ô	
400	23	12	12	12	7	9	14	13	12	17	12	17	12	14	13	13	13	13	10	10	14	13	17	19	15	17	13	20	15	14	17	5	
600	85	15	19	19	21	10	14	11	12	26	20	20	29	43	44	22	20	16	18	21	28	24	38	35	38	35	32	57	48	46	41	10	
800	115	17	23	18	22	10	20	18	13	29	15	25	32	34	39	20	12	11	13	14	23	26	32	30	36	40	40	68	48	63	39	17	
1000	132	21	18	22	21	14	13	15	12	25	15	11	17	36	34	24	7	10	7	8	15	20	31	44	39	45	38	76	48	63	41	17	
1200	223	13	15	19	23	6	19	19	5	32	13	11	25	33	43	23	11	10	7	6	22	18	36	35	37	37	42	83	57	83	63	15	
1400	283	17	22	19	27	5	21	18	12	30	11	19	29	42	40	12	8	9	7	10	21	26	28	38	28	42	38	113	61	92	62	27	
1600	252	19	18	13	12	6	16	16	7	27	6	12	19	27	29	10	3	9	4	6	12	16	19	30	34	33	24	105	43	94	54	20	
1800	163	7	9	9	12	1	7	7	1	9	1	4	12	13	15	1	0	1	0	1	3	8	14	23	16	20	6	53	26	51	36	15	
1800	45	0	2	0	2	0	2	2	1	2	1	2	3	2	2	1	0	1	0	1	3	2	2	0	1	4	2	13	8	15	11	18	

[DJ]
N	K	Î	Å	À	È	Í	Ò	Ñ	Ð	Â	Ë	Ï	Ê	Ì	Ä	É	Û	Ü	Ó	ß	Þ	Ý	Ç	Ã	Á	×	Õ	Ø	Æ	Ö	Ù	Ô	
400	23	6	7	7	7	4	6	5	9	11	8	12	13	16	12	12	7	8	8	11	10	8	13	15	15	15	11	19	15	17	16	5	
600	85	12	16	18	14	9	11	5	16	27	19	20	28	40	41	23	12	10	10	16	30	21	32	31	33	43	35	58	54	51	46	9	
800	115	6	7	9	10	3	8	5	7	21	10	11	17	40	33	20	10	13	8	10	22	21	29	28	34	33	32	75	44	63	45	15	
1000	132	9	11	13	15	8	4	6	13	18	14	15	23	39	35	18	6	5	6	4	17	15	32	40	37	45	32	81	55	61	47	18	
1200	223	6	4	7	5	6	3	3	5	23	12	15	17	43	31	16	9	8	2	3	18	8	27	33	38	36	34	95	57	86	69	13	
1400	283	4	2	5	5	1	3	2	3	21	7	12	12	50	42	16	2	1	2	3	15	8	17	31	37	32	30	115	54	106	84	27	
1600	252	4	4	8	8	4	4	3	6	12	4	7	16	30	28	10	3	2	1	2	7	8	21	30	38	25	22	119	37	99	72	16	
1800	163	0	0	3	3	1	0	0	1	4	0	2	5	12	9	0	0	0	0	0	4	7	8	15	17	10	6	59	22	46	30	14	
1800	45	0	0	0	0	0	0	0	0	2	0	0	0	3	1	0	0	0	0	0	1	0	0	0	0	3	2	13	6	14	7	15	

[DJM]
N	K	Î	Å	À	È	Í	Ò	Ñ	Ð	Â	Ë	Ï	Ê	Ì	Ä	É	Û	Ü	Ó	ß	Þ	Ý	Ç	Ã	Á	×	Õ	Ø	Æ	Ö	Ù	Ô	
400	23	6	5	6	6	4	3	3	8	8	5	9	10	11	12	8	3	2	8	6	10	8	13	9	12	11	9	18	13	16	11	4	
600	85	8	7	13	11	5	8	3	7	18	10	18	17	33	33	20	9	11	8	14	26	24	31	27	31	29	29	53	39	41	39	10	
800	115	5	7	8	9	2	5	4	9	16	10	16	16	30	32	11	7	10	5	7	13	15	20	25	30	34	28	63	43	58	30	16	
1000	132	8	6	8	8	3	4	4	4	15	3	7	11	24	27	19	2	1	3	5	12	18	25	29	31	33	27	77	48	57	41	16	
1200	223	2	2	4	4	2	1	1	1	17	2	7	10	29	31	18	3	1	2	1	14	10	23	23	28	24	38	70	46	79	58	16	
1400	283	0	1	3	3	1	3	2	3	16	4	10	11	33	32	5	0	2	2	2	13	18	14	24	25	27	22	108	52	86	55	26	
1600	252	3	0	4	4	0	2	2	2	7	1	6	7	19	20	10	1	1	2	2	9	12	13	19	26	17	25	96	25	90	50	19	
1800	163	0	0	2	2	0	0	0	0	5	0	3	4	11	8	0	0	0	0	0	3	6	5	15	13	10	2	51	17	51	37	14	
1800	45	0	0	0	0	0	0	0	0	2	0	0	2	2	1	1	0	0	0	0	2	1	2	0	1	3	3	13	6	15	10	18	

