Solution=1	[JAC]	L=1	NA=31	T=0	TexT=543	ERR=433
 N	K	Î	Å	À	È	Í	Ò	Ñ	Ð	Â	Ë	Ï	Ê	Ì	Ä	É	Û	Ü	Ó	ß	Þ	Ý	Ç	Ã	Á	×	Õ	Ø	Æ	Ö	Ù	Ô
 200	1	1	1	1	0	1	0	0	0	1	0	0	0	1	0	0	0	1	1	0	1	1	1	1	1	1	1	1	1	0	1	1
 400	8	3	2	2	3	1	2	0	3	3	3	4	2	5	5	3	3	2	2	3	6	5	6	6	5	7	5	7	4	6	6	6
 600	29	15	13	15	14	6	2	1	10	17	12	11	16	17	21	14	8	6	7	5	12	7	19	20	19	16	17	22	21	24	19	21
 800	49	5	4	6	9	6	6	4	6	11	10	11	13	16	19	10	6	7	5	4	11	12	15	15	17	18	16	32	25	30	26	26
 1000	62	9	7	9	11	3	8	7	7	14	9	8	11	18	18	11	7	8	4	10	10	14	25	20	24	25	27	43	30	30	26	35
 1200	93	4	6	8	5	2	3	3	8	14	4	9	11	23	22	10	2	3	5	5	8	12	17	15	16	23	24	40	37	30	31	37
 1400	115	5	6	11	10	5	5	2	8	15	9	10	14	20	23	8	3	6	1	7	6	11	27	23	30	29	19	52	27	47	33	59
 1600	96	6	6	6	5	5	3	3	5	11	10	6	11	17	14	7	2	4	4	2	4	12	18	20	18	21	10	50	22	36	25	41
 1800	90	0	1	3	2	2	0	0	1	5	4	2	3	14	11	3	0	0	0	0	4	5	6	8	14	11	7	47	18	35	29	42
Solution=2	[MAP]	L=1	NA=31	T=0	TexT=543	ERR=425
 N	K	Î	Å	À	È	Í	Ò	Ñ	Ð	Â	Ë	Ï	Ê	Ì	Ä	É	Û	Ü	Ó	ß	Þ	Ý	Ç	Ã	Á	×	Õ	Ø	Æ	Ö	Ù	Ô
 200	1	1	1	1	0	1	0	1	1	1	0	1	1	1	1	0	1	1	1	0	1	1	1	1	1	1	1	1	1	0	1	1
 400	8	3	3	2	2	1	1	1	0	1	2	1	3	5	4	2	2	2	1	0	1	2	5	4	3	6	4	6	8	3	5	6
 600	29	9	7	12	12	5	1	1	2	9	5	6	8	14	17	11	2	4	1	3	8	7	15	11	10	11	13	21	15	16	13	17
 800	49	6	8	9	10	3	7	5	6	12	5	8	10	13	15	8	3	4	4	6	10	13	14	9	7	15	16	33	20	20	15	29
 1000	62	9	9	8	11	3	4	4	6	11	3	4	9	11	18	6	1	1	3	5	7	13	11	16	19	13	13	33	24	29	20	34
 1200	93	6	5	3	4	1	5	5	3	7	2	5	7	18	17	4	3	2	3	5	5	9	8	15	15	11	14	31	25	37	27	39
 1400	115	9	13	8	13	4	9	7	7	11	5	9	13	11	19	8	5	5	4	7	6	13	17	23	20	24	18	48	24	42	32	54
 1600	96	5	11	4	10	4	4	4	1	9	3	4	8	11	12	10	3	3	1	2	7	14	6	16	15	11	14	38	13	32	16	43
 1800	90	3	4	0	3	2	6	6	1	10	1	3	4	16	9	3	0	2	0	3	4	6	4	12	12	9	4	40	12	30	19	44
Solution=3	[DAT]	L=1	NA=31	T=0	TexT=543	ERR=490
 N	K	Î	Å	À	È	Í	Ò	Ñ	Ð	Â	Ë	Ï	Ê	Ì	Ä	É	Û	Ü	Ó	ß	Þ	Ý	Ç	Ã	Á	×	Õ	Ø	Æ	Ö	Ù	Ô
 200	1	0	1	1	1	1	0	1	1	1	0	1	1	1	1	1	0	0	0	1	1	1	1	1	1	1	0	1	1	1	0	1
 400	8	0	6	3	5	3	4	4	3	5	5	2	6	7	6	4	4	4	5	4	8	5	7	6	8	6	6	7	7	6	7	6
 600	29	9	17	11	16	6	9	7	12	16	14	12	16	19	21	16	12	10	14	10	20	13	24	22	18	22	23	25	23	25	19	24
 800	49	14	24	19	16	9	11	9	17	26	25	21	33	30	29	23	17	21	24	13	20	7	33	33	32	26	35	35	33	35	28	36
 1000	62	10	23	10	16	7	7	7	13	26	27	11	29	37	29	22	15	20	19	10	23	16	33	40	32	33	31	46	41	37	32	43
 1200	93	14	21	17	14	9	10	9	15	26	22	22	25	31	35	21	12	15	16	18	24	13	36	40	39	21	41	55	41	42	36	61
 1400	115	18	29	18	19	5	12	10	21	34	21	22	39	34	43	32	11	16	17	18	22	10	43	46	42	38	46	71	48	51	41	63
 1600	96	9	21	14	17	8	6	5	8	23	16	16	25	26	32	16	7	7	12	8	15	11	29	41	30	26	37	46	38	34	24	46
 1800	90	5	9	5	5	3	6	4	6	19	16	9	17	23	24	14	8	7	8	8	21	10	21	32	31	12	29	50	34	39	29	48
Solution=4	[MAP]	L=1	NA=31	T=0	TexT=543	ERR=409
 N	K	Î	Å	À	È	Í	Ò	Ñ	Ð	Â	Ë	Ï	Ê	Ì	Ä	É	Û	Ü	Ó	ß	Þ	Ý	Ç	Ã	Á	×	Õ	Ø	Æ	Ö	Ù	Ô
 200	1	1	1	1	0	1	0	0	0	1	0	1	1	1	0	0	1	1	1	0	1	1	1	1	1	1	1	1	1	0	1	1
 400	8	3	2	2	3	1	1	0	0	2	2	2	3	5	4	2	2	2	1	0	1	2	5	4	3	6	4	6	8	3	5	6
 600	29	15	13	15	14	5	2	1	1	10	6	6	8	14	16	11	2	4	1	3	8	7	15	11	10	11	13	21	15	16	13	17
 800	49	5	4	6	9	4	6	4	4	12	7	8	10	14	16	8	4	5	4	7	10	13	14	10	7	15	16	33	20	21	15	30
 1000	62	9	7	9	11	3	7	6	8	11	4	5	9	12	18	6	1	3	3	6	7	13	11	17	19	13	13	33	24	29	20	34
 1200	93	4	6	8	5	1	3	3	5	7	4	6	8	18	18	4	3	2	3	5	5	9	8	16	15	11	14	31	25	37	27	39
